ticker,name,source,in_sh,in_sz
02718,明略科技-W,sh,True,True
02727,上海电气,sh,True,True
02768,国恩科技,sh,True,True
02788,创新实业,sh,True,True
02799,中信金融资产,sh,True,True
02858,易鑫集团,sh,True,True
02865,钧达股份,sh,True,True
02866,中远海发,sh,True,True
02869,绿城服务,sh,True,True
02877,神威药业,sh,True,True
02880,辽港股份,sh,True,True
02883,中海油田服务,sh,True,True
02888,渣打集团,sh,True,True
02889,博泰车联,sh,True,True
02899,紫金矿业,sh,True,True
03200,大族数控,sh,True,True
03268,美格智能,sh,True,True
03288,海天味业,sh,True,True
03296,华勤技术,sh,True,True
03306,江南布衣,sh,True,True
03311,中国建筑国际,sh,True,True
03317,迅策,sh,True,True
03320,华润医药,sh,True,True
03323,中国建材,sh,True,True
03328,交通银行,sh,True,True
03330,灵宝黄金,sh,True,True
03339,中国龙工,sh,True,True
03347,泰格医药,sh,True,True
03360,远东宏信,sh,True,True
03369,秦港股份,sh,True,True
03380,龙光集团,sh,True,True
03393,威胜控股,sh,True,True
03396,联想控股,sh,True,True
03606,福耀玻璃,sh,True,True
03613,同仁堂国药,sh,True,True
03618,重庆农村商业银行,sh,True,True
03633,中裕能源,sh,True,True
03668,兖煤澳大利亚,sh,True,True
03677,正力新能,sh,True,True
03678,弘业期货,sh,True,True
03690,美团-W,sh,True,True
03692,翰森制药,sh,True,True
03696,英矽智能,sh,True,True
03698,徽商银行,sh,True,True
03738,阜博集团,sh,True,True
03750,宁德时代,sh,True,True
03759,康龙化成,sh,True,True
03800,协鑫科技,sh,True,True
03808,中国重汽,sh,True,True
03858,佳鑫国际资源,sh,True,True
03866,青岛银行,sh,True,True
03868,信义能源,sh,True,True
03877,中国船舶租赁,sh,True,True
03881,希迪智驾,sh,True,True
03888,金山软件,sh,True,True
03896,金山云,sh,True,True
03898,时代电气,sh,True,True
03899,中集安瑞科,sh,True,True
03900,绿城中国,sh,True,True
03908,中金公司,sh,True,True
03918,金界控股,sh,True,True
03931,中创新航,sh,True,True
03933,联邦制药,sh,True,True
03939,万国黄金集团,sh,True,True
03958,东方证券,sh,True,True
03968,招商银行,sh,True,True
03969,中国通号,sh,True,True
03986,兆易创新,sh,True,True
03988,中国银行,sh,True,True
03993,洛阳钼业,sh,True,True
03996,中国能源建设,sh,True,True
03998,波司登,sh,True,True
06030,中信证券,sh,True,True
06031,三一重工,sh,True,True
06049,保利物业,sh,True,True
06055,中烟香港,sh,True,True
06060,众安在线,sh,True,True
06066,中信建投证券,sh,True,True
06067,星源材质,sh,True,True
06069,盛业,sh,True,True
06078,海吉亚医疗,sh,True,True
06082,壁仞科技,sh,True,True
06088,鸿腾精密,sh,True,True
06090,不同集团,sh,True,True
06098,碧桂园服务,sh,True,True
06099,招商证券,sh,True,True
06110,滔搏,sh,True,True
06127,昭衍新药,sh,True,True
06160,百济神州,sh,True,True
06166,剑桥科技,sh,True,True
06168,周六福,sh,True,True
06178,光大证券,sh,True,True
06181,老铺黄金,sh,True,True
06185,康希诺生物,sh,True,True
06186,中国飞鹤,sh,True,True
06196,郑州银行,sh,True,True
06198,青岛港,sh,True,True
06600,卧安机器人,sh,True,True
06603,IFBH,sh,True,True
06613,蓝思科技,sh,True,True
06618,京东健康,sh,True,True
06651,五一视界,sh,True,True
06655,华新建材,sh,True,True
06666,恒大物业,sh,True,True
06680,金力永磁,sh,True,True
06681,脑动极光-B,sh,True,True
06682,范式智能,sh,True,True
06683,巨星传奇,sh,True,True
06687,聚水潭,sh,True,True
06690,海尔智家,sh,True,True
06693,赤峰黄金,sh,True,True
06699,时代天使,sh,True,True
06806,申万宏源,sh,True,True
06808,高鑫零售,sh,True,True
06809,澜起科技,sh,True,True
06818,中国光大银行,sh,True,True
06821,凯莱英,sh,True,True
06826,昊海生物科技,sh,True,True
06855,亚盛医药,sh,True,True
06862,海底捞,sh,True,True
06865,福莱特玻璃,sh,True,True
06869,长飞光纤光缆,sh,True,True
06881,中国银河,sh,True,True
06886,华泰证券,sh,True,True
06936,顺丰控股,sh,True,True
06955,博安生物,sh,True,True
06963,阳光保险,sh,True,True
06969,思摩尔国际,sh,True,True
06979,珍酒李渡,sh,True,True
06990,科伦博泰生物,sh,True,True
06993,蓝月亮集团,sh,True,True
07618,京东工业,sh,True,True
09606,映恩生物-B,sh,True,True
09611,龙旗科技,sh,True,True
09626,哔哩哔哩-W,sh,True,True
09633,农夫山泉,sh,True,True
09636,九方智投控股,sh,True,True
09658,特海国际,sh,True,True
09660,地平线机器人-W,sh,True,True
09678,云知声,sh,True,True
09688,再鼎医药,sh,True,True
09690,途虎-W,sh,True,True
09696,天齐锂业,sh,True,True
09699,顺丰同城,sh,True,True
09858,优然牧业,sh,True,True
09863,零跑汽车,sh,True,True
09868,小鹏集团-W,sh,True,True
09880,优必选,sh,True,True
09887,维立志博-B,sh,True,True
09890,贪玩,sh,True,True
09896,名创优品,sh,True,True
09899,网易云音乐,sh,True,True
09903,天数智芯,sh,True,True
09911,赤子城科技,sh,True,True
09926,康方生物,sh,True,True
09927,赛力斯,sh,True,True
09969,诺诚健华,sh,True,True
09973,奇瑞汽车,sh,True,True
09980,东鹏饮料,sh,True,True
09981,沃尔核材,sh,True,True
09985,卫龙美味,sh,True,True
09987,百胜中国,sh,True,True
09988,阿里巴巴-W,sh,True,True
09989,海普瑞,sh,True,True
09992,泡泡玛特,sh,True,True
09993,金辉控股,sh,True,True
09995,荣昌生物,sh,True,True
09999,网易,sh,True,True
